H,HF,H1N,H1P,H2N,H2P,H3N,H3P,H4N,H4P,H5N,H5P,H6N,H6P,H7N,H7P,H8N,H8P,H9N,H9P,H10N,H10P,H11N,H11P,A,AF,A1N,A1P,A2N,A2P,A3N,A3P,A4N,A4P,A5N,A5P,A6N,A6P,A7N,A7P,A8N,A8P,A9N,A9P,A10N,A10P,A11N,A11P,HS,AS,result
Fulham,4-2-3-1,47,ST,17,LW,7,RW,25,CAM,10,CM,21,CM,23,LB,13,CB,3,CB,4,RB,12,GK,Arsenal,3-4-3,9,ST,14,LW,12,RW,34,CM,25,CM,15,LWB,2,LWB,3,CB,6,CB,16,CB,1,GK,0,3,away
Crystal Palace,4-4-2,9,ST,11,ST,15,LM,10,RM,22,CM,18,CM,27,LB,6,CB,8,CB,2,RB,31,GK,Southampton,4-4-2,9,ST,10,ST,11,LM,20,RM,6,CM,8,CM,3,LB,35,CB,5,CB,2,RB,1,GK,1,0,home
Liverpool,4-3-3,9,ST,10,LW,11,RW,5,CM,8,CM,14,CM,26,LB,4,CB,12,CB,66,RB,1,GK,Leeds United,4-1-4-1,9,ST,22,LM,43,CM,19,CM,17,RM,23,CM,15,LB,21,CB,5,CB,2,RB,1,GK,4,3,home
West Ham United,4-2-3-1,30,ST,18,LW,20,RW,16,CAM,41,CM,28,CM,3,LB,21,CB,23,CB,24,RB,1,GK,Newcastle United,4-4-2,7,ST,13,ST,16,RM,10,RM,14,CM,8,CM,15,LB,18,CB,6,CB,19,RB,26,GK,0,2,away
West Bromwich Albion,3-4-3,7,ST,11,LW,12,RW,19,CM,8,CM,3,LWB,2,LWB,27,CB,5,CB,6,CB,1,GK,Leicester City,4-1-4-1,9,ST,15,LM,26,CM,8,CM,17,RM,24,CM,2,LB,4,CB,25,CB,27,RB,1,GK,0,3,away
Tottenham Hotspur,4-2-3-1,10,ST,7,LW,27,RW,20,CAM,8,CM,5,CM,33,LB,15,CB,4,CB,2,RB,1,GK,Everton,4-3-3,9,ST,7,LW,19,RW,21,CM,16,CM,6,CM,12,LB,5,CB,13,CB,23,RB,1,GK,0,1,away
Sheffield United,3-5-2,10,ST,9,ST,4,CM,7,CM,16,CM,3,LWB,2,LWB,5,CB,12,CB,6,CB,1,GK,Wolverhampton Wanderers,3-4-3,10,ST,7,CAM,9,CAM,28,CM,32,CM,5,LWB,37,LWB,27,CB,16,CB,15,CB,11,GK,0,2,away
Brighton & Hove Albion,3-5-2,11,ST,9,ST,17,CM,14,CM,8,CM,20,LWB,2,LWB,4,CB,5,CB,3,CB,1,GK,Chelsea,4-2-2-2,11,ST,12,ST,19,CAM,29,CAM,5,CM,7,CM,3,LB,15,CB,4,CB,24,RB,1,GK,1,3,away
Everton,4-3-3,9,ST,7,LW,19,RW,21,CM,16,CM,6,CM,12,LB,5,CB,13,CB,23,RB,1,GK,West Bromwich Albion,3-4-3,7,ST,11,LW,12,RW,19,CM,8,CM,3,LWB,2,LWB,27,CB,5,CB,6,CB,1,GK,5,2,home
Leeds United,4-1-4-1,9,ST,22,LM,43,CM,20,CM,17,RM,23,CM,15,LB,6,CB,5,CB,2,RB,1,GK,Fulham,4-2-3-1,9,ST,17,LW,47,RW,25,CAM,21,CM,29,CM,23,LB,4,CB,3,CB,2,RB,1,GK,4,3,home
Manchester United,4-2-3-1,9,ST,10,LW,21,RW,18,CAM,39,CM,6,CM,23,LB,5,CB,2,CB,24,RB,1,GK,Crystal Palace,4-4-2,11,ST,9,ST,15,LM,10,RM,22,CM,18,CM,27,LB,12,CB,8,CB,2,RB,31,GK,1,3,away
Arsenal,3-4-3,9,ST,14,LW,12,RW,34,CM,8,CM,7,LWB,2,LWB,31,CB,6,CB,16,CB,1,GK,West Ham United,3-4-3,30,ST,18,LW,20,RW,41,CM,28,CM,26,LWB,24,LWB,3,CB,21,CB,23,CB,1,GK,2,1,home
Southampton,4-4-2,9,ST,10,ST,12,LM,17,RM,6,CM,8,CM,3,LB,35,CB,5,CB,2,RB,1,GK,Tottenham Hotspur,4-3-3,10,ST,7,LW,27,RW,28,CM,5,CM,8,CM,33,LB,15,CB,6,CB,2,RB,1,GK,2,5,away
Newcastle United,4-4-2,13,ST,7,ST,10,LM,8,CM,16,RM,14,CM,15,LB,18,CB,6,CB,19,RB,26,GK,Brighton & Hove Albion,3-4-3,7,ST,9,LW,11,RW,17,CM,8,CM,20,LWB,2,LWB,4,CB,5,CB,3,CB,1,GK,0,3,away
Chelsea,4-3-3,29,ST,11,LW,19,RW,17,CM,7,CM,5,CM,3,LB,15,CB,4,CB,24,RB,1,GK,Liverpool,4-3-3,9,ST,10,LW,11,RW,5,CM,8,CM,14,CM,26,LB,4,CB,3,CB,66,RB,1,GK,0,2,away
Leicester City,4-1-4-1,9,ST,15,LM,26,CM,8,CM,17,RM,24,CM,2,LB,4,CB,25,CB,27,RB,1,GK,Burnley,4-4-2,9,ST,19,ST,11,LM,12,RM,8,CM,18,CM,3,LB,34,CB,28,CB,26,RB,1,GK,4,2,home
Aston Villa,4-3-3,11,ST,10,LW,17,RW,7,CM,14,CM,6,CM,18,LB,5,CB,4,CB,2,RB,26,GK,Sheffield United,3-5-2,17,ST,14,ST,4,LM,7,CM,8,CM,3,LB,2,RB,5,CB,12,CM,6,RM,1,GK,1,0,home
Wolverhampton Wanderers,3-5-2,10,ST,9,ST,7,CM,28,CM,8,CM,5,LWB,37,LWB,27,CB,16,CB,15,CB,11,GK,Manchester City,4-2-3-1,9,ST,7,LW,47,RW,17,CAM,16,CM,25,CM,22,LB,6,CB,5,CB,2,RB,31,GK,1,3,away
Brighton & Hove Albion,3-4-3,7,ST,9,LW,11,RW,17,CM,14,CM,20,LWB,2,LWB,4,CB,5,CB,3,CB,1,GK,Manchester United,4-2-3-1,9,ST,10,LW,11,RW,18,CAM,31,CM,6,CM,23,LB,5,CB,2,CB,29,RB,1,GK,2,3,away
Crystal Palace,4-4-2,11,ST,9,ST,25,LM,18,CM,22,CM,10,RM,27,LB,12,CB,8,CB,2,RB,31,GK,Everton,4-3-3,9,ST,7,LW,19,RW,21,CM,16,CM,6,CM,12,LB,5,CB,13,CB,23,RB,1,GK,1,2,away
West Bromwich Albion,3-4-3,7,ST,11,CAM,12,CAM,19,CM,8,CM,14,LWB,2,LWB,27,CB,5,CB,6,CB,1,GK,Chelsea,4-2-3-1,9,ST,11,LW,19,RW,29,CAM,17,CM,7,CM,3,LB,6,CB,4,CB,24,RB,13,GK,3,3,draw
Burnley,4-4-2,27,ST,9,ST,11,LM,8,RM,16,CM,18,CM,3,LB,34,CB,28,CB,26,RB,1,GK,Southampton,4-4-2,9,ST,10,ST,12,LM,6,CM,8,CM,17,RM,3,LB,4,CB,35,CB,2,RB,1,GK,0,1,away
Sheffield United,3-5-2,14,ST,17,ST,23,CM,7,CM,8,CM,3,LWB,2,LWB,19,CB,22,CB,6,CB,1,GK,Leeds United,3-5-2,11,ST,9,ST,15,CM,43,CM,23,CM,22,LWB,17,LWB,6,CB,5,CB,2,CB,1,GK,0,1,away
Tottenham Hotspur,4-2-3-1,10,ST,7,LW,27,RW,18,CAM,8,CM,5,CM,33,LB,15,CB,6,CB,2,RB,1,GK,Newcastle United,3-4-3,13,ST,9,LW,24,RW,16,CM,8,CM,11,LWB,19,LWB,18,CB,6,CB,14,CB,26,GK,1,1,draw
Manchester City,4-2-3-1,7,ST,47,LW,26,RW,17,CAM,16,CM,25,CM,22,LB,6,CB,50,CB,2,RB,31,GK,Leicester City,3-4-3,9,ST,15,LW,26,RW,24,CM,8,CM,2,LWB,27,LWB,4,CB,6,CB,18,CB,1,GK,2,5,away
West Ham United,3-4-3,30,ST,18,CAM,20,CAM,41,CM,28,CM,26,LWB,24,LWB,3,CB,21,CB,4,CB,1,GK,Wolverhampton Wanderers,3-4-3,9,ST,7,LW,37,RW,28,CM,8,CM,29,LWB,22,LWB,27,CB,16,CB,15,CB,11,GK,4,0,home
Fulham,3-4-3,9,ST,17,CAM,14,CAM,10,CM,29,CM,23,LWB,2,LWB,13,CB,3,CB,4,CB,1,GK,Aston Villa,4-3-3,11,ST,10,LW,17,RW,14,CM,7,CM,6,CM,18,LB,5,CB,4,CB,2,RB,26,GK,0,3,away
Liverpool,4-3-3,9,ST,10,LW,11,RW,5,CM,8,CM,3,CM,26,LB,4,CB,12,CB,66,RB,1,GK,Arsenal,3-4-3,9,ST,14,LW,12,RW,34,CM,25,CM,15,LWB,2,LWB,3,CB,23,CB,16,CB,1,GK,3,1,home
Chelsea,4-2-3-1,9,ST,11,LW,20,RW,29,CAM,5,CM,7,CM,21,LB,15,CB,6,CB,28,RB,16,GK,Crystal Palace,4-4-2,9,ST,11,ST,25,LM,22,CM,18,CM,10,RM,27,LB,12,CB,8,CB,2,RB,31,GK,4,0,home
Everton,4-3-3,9,ST,7,LW,19,RW,10,CM,16,CM,26,CM,12,LB,5,CB,13,CB,23,RB,1,GK,Brighton & Hove Albion,3-4-3,7,ST,9,LW,11,RW,17,CM,8,CM,20,LWB,2,LWB,4,CB,5,CB,3,CB,1,GK,4,2,home
Leeds United,4-5-1,9,ST,10,LM,43,CM,11,CM,17,RM,23,CM,15,LB,6,CB,5,CB,2,RB,1,GK,Manchester City,4-3-3,26,ST,7,LW,21,RW,47,CM,17,CM,16,CM,22,LB,14,CB,3,CB,2,RB,31,GK,1,1,draw
Newcastle United,4-4-2,13,ST,9,ST,10,LM,16,RM,14,CM,8,CM,15,LB,18,CB,5,CB,17,RB,26,GK,Burnley,4-4-2,9,ST,10,ST,11,LM,16,CM,18,CM,8,RM,3,LB,5,CB,28,CB,26,RB,1,GK,3,1,home
Leicester City,3-4-3,9,ST,15,LW,17,RW,24,CM,8,CM,2,LWB,27,LWB,4,CB,6,CB,18,CB,1,GK,West Ham United,3-4-3,30,ST,18,CM,20,CM,41,CM,28,CM,26,LWB,5,LWB,3,CB,21,CB,4,CB,1,GK,0,3,away
Southampton,4-4-2,9,ST,10,ST,12,LM,17,RM,6,CM,8,CM,3,LB,4,CB,35,CB,2,RB,1,GK,West Bromwich Albion,4-2-3-1,7,ST,11,LW,21,RW,12,RW,19,CM,8,CM,14,LB,5,CB,6,CB,27,RB,1,GK,2,0,home
Arsenal,4-3-3,30,ST,14,LW,12,RW,7,CM,25,CM,8,CM,3,LB,6,CB,23,CB,2,RB,1,GK,Sheffield United,3-5-2,17,ST,14,ST,23,CM,7,CM,8,CM,3,LWB,2,LWB,19,CB,12,CB,6,CB,1,GK,2,1,home
Wolverhampton Wanderers,3-5-2,10,ST,9,ST,7,CM,32,CM,8,CM,27,LWB,22,LWB,49,CB,16,CB,15,CB,11,GK,Fulham,4-2-3-1,9,ST,23,LW,17,RW,14,CAM,29,CM,10,CM,33,LB,20,CB,13,CB,34,RB,1,GK,1,0,home
Manchester United,4-2-3-1,9,ST,10,LW,11,RW,18,CAM,6,CM,31,CM,23,LB,5,CB,3,CB,29,RB,1,GK,Tottenham Hotspur,4-3-3,10,ST,7,LW,11,RW,28,CM,17,CM,5,CM,3,LB,15,CB,6,CB,24,RB,1,GK,1,6,away
Aston Villa,4-2-3-1,11,ST,10,LW,17,RW,20,CAM,7,CM,6,CM,18,LB,5,CB,4,CB,2,RB,26,GK,Liverpool,4-3-3,9,ST,20,LW,11,RW,5,CM,8,CM,3,CM,26,LB,4,CB,12,CB,66,RB,13,GK,7,2,home
Everton,4-3-3,9,ST,7,LW,19,RW,21,CM,16,CM,6,CM,12,LB,5,CB,13,CB,23,RB,1,GK,Liverpool,4-3-3,9,ST,10,LW,11,RW,6,CM,14,CM,3,CM,26,LB,4,CB,32,CB,66,RB,13,GK,2,2,draw
Chelsea,4-2-3-1,11,ST,19,LW,10,RW,29,CAM,7,CM,5,CM,21,LB,15,CB,4,CB,28,RB,1,GK,Southampton,4-4-2,9,ST,10,ST,11,LM,6,CM,8,CM,32,RM,3,LB,4,CB,35,CB,2,RB,1,GK,3,3,draw
Manchester City,3-5-2,10,ST,7,ST,20,CM,27,CM,16,CM,47,LWB,26,LWB,6,CB,3,CB,2,CB,31,GK,Arsenal,3-4-3,12,ST,14,LW,19,RW,8,CM,34,CM,7,LWB,2,LWB,3,CB,6,CB,23,CB,1,GK,1,0,home
Newcastle United,4-1-4-1,13,ST,10,LM,16,CM,8,CM,9,RM,14,CM,15,LB,18,CB,6,CB,17,RB,26,GK,Manchester United,4-2-3-1,10,ST,21,LW,8,RW,18,CAM,17,CM,39,CM,23,LB,5,CB,2,CB,29,RB,1,GK,1,4,away
Sheffield United,3-5-2,17,ST,9,ST,7,CM,8,CM,16,CM,13,LWB,2,LWB,3,LWB,12,CB,6,CB,1,GK,Fulham,4-2-3-1,9,ST,19,LW,17,RW,15,CAM,29,CM,10,CM,33,LB,13,CB,16,CB,34,RB,1,GK,1,1,draw
Crystal Palace,4-4-2,11,ST,23,ST,15,LM,18,CM,44,CM,10,RM,27,LB,24,CB,8,CB,2,RB,31,GK,Brighton & Hove Albion,3-4-3,9,ST,11,LW,14,RW,8,CM,3,CM,20,LWB,2,LWB,33,CB,5,CB,4,CB,1,GK,1,1,draw
Tottenham Hotspur,4-2-3-1,10,ST,7,LW,23,RW,28,CAM,5,CM,17,CM,3,LB,6,CB,4,CB,24,RB,1,GK,West Ham United,3-4-3,30,ST,18,CAM,20,CAM,41,CM,28,CM,26,LWB,5,LWB,3,CB,21,CB,4,CB,1,GK,3,3,draw
Leicester City,4-1-4-1,14,ST,15,LM,26,CM,8,CM,17,RM,24,CM,2,LB,6,CB,3,CB,27,RB,1,GK,Aston Villa,4-2-3-1,11,ST,10,LW,17,RW,20,CAM,7,CM,6,CM,18,LB,5,CB,4,CB,2,RB,26,GK,0,1,away
West Bromwich Albion,4-5-1,29,ST,11,LM,17,CM,18,CM,12,RM,8,CM,14,LB,26,CB,20,CB,2,RB,1,GK,Burnley,4-4-2,9,ST,10,ST,11,LM,7,RM,8,CM,18,CM,3,LB,5,CB,28,CB,23,RB,1,GK,0,0,draw
Leeds United,4-1-4-1,9,ST,22,LM,20,CM,43,CM,17,RM,23,CM,15,LB,21,CB,5,CB,2,RB,1,GK,Wolverhampton Wanderers,3-5-2,10,ST,9,ST,7,CM,32,CM,28,CM,27,LWB,22,LWB,49,CB,16,CB,15,CB,11,GK,0,1,away
Aston Villa,4-2-3-1,11,ST,10,LW,17,RW,20,CAM,6,CM,7,CM,18,LB,5,CB,4,CB,2,RB,26,GK,Leeds United,4-4-1-1,9,ST,20,CAM,22,LM,43,CM,21,CM,17,RM,10,LB,2,CB,5,CB,15,RB,1,GK,0,3,away
West Ham United,3-4-3,30,ST,18,LW,20,RW,41,CM,28,CM,26,LWB,5,LWB,3,CB,21,CB,4,CB,1,GK,Manchester City,4-3-3,10,ST,7,LW,26,RW,8,CM,20,CM,16,CM,27,LB,50,CB,3,CB,2,RB,31,GK,1,1,draw
Fulham,4-3-3,9,ST,19,LW,15,RW,10,CM,29,CM,18,CM,33,LB,13,CB,16,CB,34,RB,1,GK,Crystal Palace,4-4-2,11,ST,23,ST,15,LM,10,RM,44,CM,4,CM,27,LB,6,CB,8,CB,17,RB,31,GK,1,2,away
Manchester United,4-2-3-1,10,ST,21,LW,8,RW,18,CAM,17,CM,39,CM,23,LB,5,CB,2,CB,29,RB,1,GK,Chelsea,3-4-3,11,ST,10,CAM,29,CAM,7,CM,5,CM,21,LWB,24,LWB,15,CB,6,CB,28,CB,16,GK,0,0,draw
Liverpool,4-2-3-1,11,ST,10,LW,20,RW,9,CAM,5,CM,14,CM,26,LB,12,CB,3,CB,66,RB,1,GK,Sheffield United,3-5-2,24,ST,9,ST,7,CM,8,CM,22,CM,23,LWB,2,LWB,3,CB,12,CB,6,CB,1,GK,2,1,home
Southampton,4-4-2,10,ST,9,ST,11,LM,17,RM,6,CM,8,CM,3,LB,4,CB,35,CB,2,RB,1,GK,Everton,4-3-3,9,ST,17,LW,19,RW,10,CM,16,CM,6,CM,12,LB,5,CB,13,CB,22,RB,1,GK,2,0,home
Wolverhampton Wanderers,3-4-3,9,ST,10,LW,7,RW,8,CM,32,CM,27,LWB,22,LWB,49,CB,16,CB,15,CB,11,GK,Newcastle United,3-5-2,10,ST,13,ST,24,CM,21,CM,16,CM,15,LWB,23,LWB,18,CB,6,CB,5,CB,26,GK,1,1,draw
Arsenal,3-4-3,9,ST,7,LW,14,RW,8,CM,18,CM,3,LWB,2,LWB,34,CB,6,CB,23,CB,1,GK,Leicester City,3-4-3,15,ST,10,CAM,26,CAM,24,CM,8,CM,2,LWB,27,LWB,28,CB,6,CB,3,CB,1,GK,0,1,away
Brighton & Hove Albion,3-4-3,9,ST,11,LW,14,RW,8,CM,3,CM,20,LWB,2,LWB,33,CB,34,CB,4,CB,1,GK,West Bromwich Albion,4-1-4-1,29,ST,11,LM,17,CM,18,CM,12,RM,8,CM,14,LB,6,CB,20,CB,2,RB,1,GK,1,1,draw
Burnley,4-4-2,9,ST,10,ST,11,LM,8,CM,18,CM,7,RM,3,LB,5,CB,28,CB,2,RB,1,GK,Tottenham Hotspur,4-2-3-1,10,ST,7,LW,27,RW,28,CAM,5,CM,17,CM,33,LB,15,CB,4,CB,2,RB,1,GK,0,1,away
Wolverhampton Wanderers,3-4-3,9,ST,10,LW,7,RW,8,CM,32,CM,3,LWB,22,LWB,49,CB,16,CB,15,CB,11,GK,Crystal Palace,4-4-2,11,ST,23,ST,15,LM,10,RM,4,CM,44,CM,3,LB,6,CB,8,CB,17,RB,31,GK,2,0,home
Sheffield United,3-5-2,24,ST,9,ST,23,CM,8,CM,22,CM,13,LWB,2,LWB,3,CB,12,CB,6,CB,1,GK,Manchester City,4-3-3,21,ST,7,LW,26,RW,20,CM,17,CM,16,CM,27,LB,14,CB,3,CB,2,RB,31,GK,0,1,away
Burnley,4-4-2,10,ST,9,ST,11,LM,8,RM,16,CM,18,CM,3,LB,5,CB,28,CB,2,RB,1,GK,Chelsea,4-3-3,9,ST,11,LW,22,RW,19,CM,29,CM,7,CM,21,LB,6,CB,15,CB,24,RB,16,GK,0,3,away
Liverpool,4-3-3,9,ST,10,LW,11,RW,5,CM,17,CM,14,CM,26,LB,12,CB,47,CB,66,RB,1,GK,West Ham United,3-4-3,22,ST,18,CAM,20,CAM,41,CM,28,CM,26,LWB,5,LWB,3,CB,21,CB,4,CB,1,GK,2,1,home
Aston Villa,4-2-3-1,11,ST,10,LW,15,RW,20,CAM,6,CM,7,CM,18,LB,5,CB,4,CB,2,RB,26,GK,Southampton,4-4-2,10,ST,9,ST,32,LM,17,RM,8,CM,6,CM,3,LB,4,CB,35,CB,2,RB,1,GK,3,4,away
Newcastle United,3-5-2,10,ST,13,ST,24,CM,36,CM,16,CM,15,LWB,23,LWB,18,CB,6,CB,5,CB,26,GK,Everton,4-3-2-1,9,ST,21,CAM,10,CAM,8,CM,16,CM,6,CM,18,LB,5,CB,13,CB,2,RB,33,GK,2,1,home
Manchester United,4-4-2◆,10,ST,11,ST,18,CAM,6,CM,39,CM,17,CM,23,LB,5,CB,2,CB,29,RB,1,GK,Arsenal,3-4-3,9,ST,14,LW,12,RW,25,CM,18,CM,7,LWB,2,LWB,3,CB,6,CB,16,CB,1,GK,0,1,away
Tottenham Hotspur,4-2-3-1,10,ST,7,LW,11,RW,28,CAM,5,CM,17,CM,3,LB,15,CB,4,CB,2,RB,1,GK,Brighton & Hove Albion,3-5-1-1,11,ST,14,CAM,8,CM,13,CM,3,CM,20,LWB,2,LWB,33,CB,34,CB,4,CB,26,GK,2,1,home
Fulham,4-2-3-1,9,ST,19,LW,14,RW,10,CAM,18,CM,29,CM,33,LB,16,CB,5,CB,34,RB,1,GK,West Bromwich Albion,4-1-4-1,29,ST,11,LM,18,CM,8,CM,12,RM,17,CM,14,LB,6,CB,20,CB,2,RB,1,GK,2,0,home
Leeds United,4-1-4-1,9,ST,22,LM,46,CM,19,CM,17,RM,43,CM,15,LB,6,CB,5,CB,2,RB,1,GK,Leicester City,3-4-3,9,ST,15,CAM,26,CAM,24,CM,8,CM,33,LWB,11,LWB,28,CB,3,CB,2,CB,1,GK,1,4,away
Brighton & Hove Albion,3-5-2,9,ST,18,ST,14,CM,13,CM,8,CM,33,LWB,2,LWB,4,CB,3,CB,34,CB,1,GK,Burnley,4-4-2,10,ST,9,ST,11,LM,12,RM,8,CM,18,CM,3,LB,6,CB,5,CB,2,RB,1,GK,0,0,draw
Southampton,4-4-2,32,ST,10,ST,12,LM,17,RM,8,CM,6,CM,5,LB,4,CB,35,CB,2,RB,1,GK,Newcastle United,3-5-2,10,ST,13,ST,24,CM,36,CM,16,CM,15,LWB,23,LWB,18,CB,6,CB,5,CB,26,GK,2,0,home
