league,season,season_id,number_of_teams,number_of_matches,team_id_most_scored,team_most_scored_total_goals,player_id_most_scored,player_most_scored_total_goals,substituted_in_total,substituted_avg_per_match,substituted_avg_every_minutes,assists_total,assists_avg_per_match,assists_avg_every_minutes,cards_total,cards_avg_per_match,cards_avg_every_minutes,yellow_cards_total,yellow_cards_avg_per_match,yellow_cards_avg_every_minutes,yellowred_cards_total,yellowred_cards_avg_per_match,yellowred_cards_avg_every_minutes,red_cards_total,red_cards_avg_per_match,red_cards_avg_every_minutes,goals_total,goals_percentage_total_goals,goals_avg_per_match,goals_avg_every_minutes,home_goals_total,home_goals_percentage_total_goals,home_goals_avg_per_match,home_goals_avg_every_minutes,away_goals_total,away_goals_percentage_total_goals,away_goals_avg_per_match,away_goals_avg_every_minutes,clean_sheets_total,clean_sheets_avg_per_match,home_clean_sheets_total,home_clean_sheets_avg_per_match,away_clean_sheets_total,away_clean_sheets_avg_per_match,goals_scored_range_total_0To15,goals_scored_range_percentage_total_goals_0To15,goals_scored_range_total_15To30,goals_scored_range_percentage_total_goals_15To30,goals_scored_range_total_30To45,goals_scored_range_percentage_total_goals_30To45,goals_scored_range_total_45To60,goals_scored_range_percentage_total_goals_45To60,goals_scored_range_total_60To75,goals_scored_range_percentage_total_goals_60To75,goals_scored_range_total_75To90,goals_scored_range_percentage_total_goals_75To90,goals_scored_range_total_90To120,goals_scored_range_percentage_total_goals_90To120,goal_line_total_over_0p5,goal_line_percentage_total_matches_over_0p5,goal_line_total_over_1p5,goal_line_percentage_total_matches_over_1p5,goal_line_total_over_2p5,goal_line_percentage_total_matches_over_2p5,goal_line_total_over_3p5,goal_line_percentage_total_matches_over_3p5,goal_line_total_over_4p5,goal_line_percentage_total_matches_over_4p5,goal_line_total_over_5p5,goal_line_percentage_total_matches_over_5p5,goal_line_total_under_0p5,goal_line_percentage_total_matches_under_0p5,goal_line_total_under_1p5,goal_line_percentage_total_matches_under_1p5,goal_line_total_under_2p5,goal_line_percentage_total_matches_under_2p5,goal_line_total_under_3p5,goal_line_percentage_total_matches_under_3p5,goal_line_total_under_4p5,goal_line_percentage_total_matches_under_4p5,goal_line_total_under_5p5,goal_line_percentage_total_matches_under_5p5
JapanJ1League,2019,1598,22,310,1048,68,1229,15,928,2.99,30,510,1.65,55,679,2.19,41,656,2.12,43,14,0.05,1993,9,0.03,3100,804,2.74,35,35,421,1.36,66,66,383,1.24,73,73,171,55.16,91,29.35,80,25.81,103,12.81,112,13.93,114,14.18,115,14.3,151,18.78,209,26,0,0,586,189.03,458,147.74,282,90.97,156,50.32,72,23.23,32,10.32,34,10.97,34,52.26,34,109.03,34,149.68,34,176.77,34,189.68
JapanJ1League,2020,1597,18,226,1050,68,15020,23,1072,4.74,19,418,1.85,49,503,2.23,40,490,2.17,42,7,0.03,2906,6,0.03,3390,673,3.13,30,30,349,1.54,58,58,324,1.43,63,63,109,48.23,57,25.22,52,23.01,73,10.85,87,12.93,120,17.83,123,18.28,97,14.41,173,25.71,0,0,430,190.27,346,153.1,268,118.58,164,72.57,86,38.05,36,15.93,22,9.73,22,46.9,22,81.42,22,127.43,22,161.95,22,184.07
JapanJ1League,2019,1598,22,310,1048,68,1229,15,928,2.99,30,510,1.65,55,679,2.19,41,656,2.12,43,14,0.05,1993,9,0.03,3100,804,2.74,35,35,421,1.36,66,66,383,1.24,73,73,171,55.16,91,29.35,80,25.81,103,12.81,112,13.93,114,14.18,115,14.3,151,18.78,209,26,0,0,586,189.03,458,147.74,282,90.97,156,50.32,72,23.23,32,10.32,34,10.97,34,52.26,34,109.03,34,149.68,34,176.77,34,189.68
JapanJ1League,2020,1597,18,226,1050,68,15020,23,1072,4.74,19,418,1.85,49,503,2.23,40,490,2.17,42,7,0.03,2906,6,0.03,3390,673,3.13,30,30,349,1.54,58,58,324,1.43,63,63,109,48.23,57,25.22,52,23.01,73,10.85,87,12.93,120,17.83,123,18.28,97,14.41,173,25.71,0,0,430,190.27,346,153.1,268,118.58,164,72.57,86,38.05,36,15.93,22,9.73,22,46.9,22,81.42,22,127.43,22,161.95,22,184.07
EnglandPremierLeague,2018,3,20,380,4,95,6394,22,1345,3.54,25,717,1.89,48,1268,3.34,27,1221,3.21,28,18,0.05,1900,29,0.08,1179,1072,2.99,32,32,596,1.57,57,57,476,1.25,72,72,207,54.47,119,31.32,88,23.16,134,12.5,172,16.04,170,15.86,158,14.74,185,17.26,253,23.6,0,0,716,188.42,606,159.47,408,107.37,240,63.16,110,28.95,46,12.11,44,11.58,44,40.53,44,92.63,44,136.84,44,171.05,44,187.89
EnglandPremierLeague,2019,1,20,380,4,102,6388,23,1391,3.66,25,699,1.84,49,1326,3.49,26,1281,3.37,27,19,0.05,1800,26,0.07,1315,1034,2.88,33,33,576,1.52,59,59,458,1.21,75,75,207,54.47,123,32.37,84,22.11,114,11.03,158,15.28,203,19.63,170,16.44,166,16.05,223,21.57,0,0,718,188.95,608,160,396,104.21,214,56.32,88,23.16,22,5.79,42,11.05,42,40,42,95.79,42,143.68,42,176.84,42,194.21
EnglandPremierLeague,2018,3,20,380,4,95,6394,22,1345,3.54,25,717,1.89,48,1268,3.34,27,1221,3.21,28,18,0.05,1900,29,0.08,1179,1072,2.99,32,32,596,1.57,57,57,476,1.25,72,72,207,54.47,119,31.32,88,23.16,134,12.5,172,16.04,170,15.86,158,14.74,185,17.26,253,23.6,0,0,716,188.42,606,159.47,408,107.37,240,63.16,110,28.95,46,12.11,44,11.58,44,40.53,44,92.63,44,136.84,44,171.05,44,187.89
EnglandPremierLeague,2019,1,20,380,4,102,6388,23,1391,3.66,25,699,1.84,49,1326,3.49,26,1281,3.37,27,19,0.05,1800,26,0.07,1315,1034,2.88,33,33,576,1.52,59,59,458,1.21,75,75,207,54.47,123,32.37,84,22.11,114,11.03,158,15.28,203,19.63,170,16.44,166,16.05,223,21.57,0,0,718,188.95,608,160,396,104.21,214,56.32,88,23.16,22,5.79,42,11.05,42,40,42,95.79,42,143.68,42,176.84,42,194.21
EnglandPremierLeague,2018,3,20,380,4,95,6394,22,1345,3.54,25,717,1.89,48,1268,3.34,27,1221,3.21,28,18,0.05,1900,29,0.08,1179,1072,2.99,32,32,596,1.57,57,57,476,1.25,72,72,207,54.47,119,31.32,88,23.16,134,12.5,172,16.04,170,15.86,158,14.74,185,17.26,253,23.6,0,0,716,188.42,606,159.47,408,107.37,240,63.16,110,28.95,46,12.11,44,11.58,44,40.53,44,92.63,44,136.84,44,171.05,44,187.89
EnglandPremierLeague,2019,1,20,380,4,102,6388,23,1391,3.66,25,699,1.84,49,1326,3.49,26,1281,3.37,27,19,0.05,1800,26,0.07,1315,1034,2.88,33,33,576,1.52,59,59,458,1.21,75,75,207,54.47,123,32.37,84,22.11,114,11.03,158,15.28,203,19.63,170,16.44,166,16.05,223,21.57,0,0,718,188.95,608,160,396,104.21,214,56.32,88,23.16,22,5.79,42,11.05,42,40,42,95.79,42,143.68,42,176.84,42,194.21
FranceLigue1,2018,380,20,384,112,105,688,33,1233,3.21,28,631,1.64,55,1445,3.76,24,1345,3.5,26,33,0.09,1047,67,0.17,516,972,2.79,36,36,559,1.46,62,62,413,1.08,84,84,223,58.07,135,35.16,88,22.92,118,12.14,131,13.48,143,14.71,154,15.84,196,20.16,234,24.07,0,0,696,181.25,542,141.15,366,95.31,208,54.17,88,22.92,32,8.33,64,16.67,64,56.77,64,102.6,64,143.75,64,175,64,189.58
FranceLigue1,2019,379,20,279,112,75,688,18,861,3.09,29,470,1.68,53,1063,3.81,24,993,3.56,25,31,0.11,810,39,0.14,644,704,2.73,36,36,417,1.49,60,60,287,1.03,87,87,165,59.14,101,36.2,64,22.94,96,13.64,99,14.06,127,18.04,107,15.2,126,17.9,149,21.16,0,0,516,184.95,390,139.78,264,94.62,142,50.9,62,22.22,24,8.6,42,15.05,42,60.22,42,105.38,42,149.1,42,177.78,42,191.4
FranceLigue1,2020,7015,20,79,112,20,740,6,136,1.72,52,132,1.67,54,374,4.73,19,336,4.25,21,9,0.11,790,29,0.37,245,221,2.95,32,32,122,1.54,58,58,99,1.25,72,72,41,51.9,20,25.32,21,26.58,29,13.12,34,15.38,42,19,38,17.19,32,14.48,46,20.81,0,0,150,189.87,126,159.49,84,106.33,54,68.35,22,27.85,4,5.06,8,10.13,8,40.51,8,93.67,8,131.65,8,172.15,8,194.94
FranceLigue1,2018,380,20,384,112,105,688,33,1233,3.21,28,631,1.64,55,1445,3.76,24,1345,3.5,26,33,0.09,1047,67,0.17,516,972,2.79,36,36,559,1.46,62,62,413,1.08,84,84,223,58.07,135,35.16,88,22.92,118,12.14,131,13.48,143,14.71,154,15.84,196,20.16,234,24.07,0,0,696,181.25,542,141.15,366,95.31,208,54.17,88,22.92,32,8.33,64,16.67,64,56.77,64,102.6,64,143.75,64,175,64,189.58
FranceLigue1,2019,379,20,279,112,75,688,18,861,3.09,29,470,1.68,53,1063,3.81,24,993,3.56,25,31,0.11,810,39,0.14,644,704,2.73,36,36,417,1.49,60,60,287,1.03,87,87,165,59.14,101,36.2,64,22.94,96,13.64,99,14.06,127,18.04,107,15.2,126,17.9,149,21.16,0,0,516,184.95,390,139.78,264,94.62,142,50.9,62,22.22,24,8.6,42,15.05,42,60.22,42,105.38,42,149.1,42,177.78,42,191.4
FranceLigue1,2020,7015,20,79,112,20,740,6,136,1.72,52,132,1.67,54,374,4.73,19,336,4.25,21,9,0.11,790,29,0.37,245,221,2.95,32,32,122,1.54,58,58,99,1.25,72,72,41,51.9,20,25.32,21,26.58,29,13.12,34,15.38,42,19,38,17.19,32,14.48,46,20.81,0,0,150,189.87,126,159.49,84,106.33,54,68.35,22,27.85,4,5.06,8,10.13,8,40.51,8,93.67,8,131.65,8,172.15,8,194.94
FranceLigue1,2018,380,20,384,112,105,688,33,1233,3.21,28,631,1.64,55,1445,3.76,24,1345,3.5,26,33,0.09,1047,67,0.17,516,972,2.79,36,36,559,1.46,62,62,413,1.08,84,84,223,58.07,135,35.16,88,22.92,118,12.14,131,13.48,143,14.71,154,15.84,196,20.16,234,24.07,0,0,696,181.25,542,141.15,366,95.31,208,54.17,88,22.92,32,8.33,64,16.67,64,56.77,64,102.6,64,143.75,64,175,64,189.58
FranceLigue1,2019,379,20,279,112,75,688,18,861,3.09,29,470,1.68,53,1063,3.81,24,993,3.56,25,31,0.11,810,39,0.14,644,704,2.73,36,36,417,1.49,60,60,287,1.03,87,87,165,59.14,101,36.2,64,22.94,96,13.64,99,14.06,127,18.04,107,15.2,126,17.9,149,21.16,0,0,516,184.95,390,139.78,264,94.62,142,50.9,62,22.22,24,8.6,42,15.05,42,60.22,42,105.38,42,149.1,42,177.78,42,191.4
FranceLigue1,2020,7015,20,79,112,20,740,6,136,1.72,52,132,1.67,54,374,4.73,19,336,4.25,21,9,0.11,790,29,0.37,245,221,2.95,32,32,122,1.54,58,58,99,1.25,72,72,41,51.9,20,25.32,21,26.58,29,13.12,34,15.38,42,19,38,17.19,32,14.48,46,20.81,0,0,150,189.87,126,159.49,84,106.33,54,68.35,22,27.85,4,5.06,8,10.13,8,40.51,8,93.67,8,131.65,8,172.15,8,194.94
GermanyBundesliga,2018,407,19,308,111,88,19988,22,1050,3.41,26,660,2.14,42,1063,3.45,26,1020,3.31,27,22,0.07,1260,21,0.07,1320,977,3.37,28,28,550,1.79,50,50,427,1.39,65,65,143,46.43,80,25.97,63,20.45,112,11.46,129,13.2,165,16.89,162,16.58,178,18.22,231,23.64,0,0,580,188.31,520,168.83,384,124.68,246,79.87,126,40.91,70,22.73,36,11.69,36,31.17,36,75.32,36,120.13,36,159.09,36,177.27
GermanyBundesliga,2019,406,19,308,111,100,19988,34,1316,4.27,21,705,2.29,39,1218,3.95,23,1162,3.77,24,36,0.12,770,20,0.06,1386,986,3.34,28,28,510,1.66,54,54,476,1.55,58,58,142,46.1,77,25,65,21.1,136,13.79,119,12.07,159,16.13,185,18.76,157,15.92,230,23.33,0,0,590,191.56,526,170.78,400,129.87,256,83.12,122,39.61,58,18.83,26,8.44,26,29.22,26,70.13,26,116.88,26,160.39,26,181.17
GermanyBundesliga,2020,7199,18,45,111,22,19988,10,49,1.09,83,99,2.2,41,186,4.13,22,181,4.02,22,4,0.09,1013,1,0.02,4050,140,3.26,29,29,80,1.78,51,51,60,1.33,68,68,18,40,12,26.67,6,13.33,17,12.14,24,17.14,23,16.43,23,16.43,20,14.29,33,23.57,0,0,86,191.11,78,173.33,48,106.67,38,84.44,20,44.44,4,8.89,4,8.89,4,26.67,4,93.33,4,115.56,4,155.56,4,191.11
GermanyBundesliga,2018,407,19,308,111,88,19988,22,1050,3.41,26,660,2.14,42,1063,3.45,26,1020,3.31,27,22,0.07,1260,21,0.07,1320,977,3.37,28,28,550,1.79,50,50,427,1.39,65,65,143,46.43,80,25.97,63,20.45,112,11.46,129,13.2,165,16.89,162,16.58,178,18.22,231,23.64,0,0,580,188.31,520,168.83,384,124.68,246,79.87,126,40.91,70,22.73,36,11.69,36,31.17,36,75.32,36,120.13,36,159.09,36,177.27
GermanyBundesliga,2019,406,19,308,111,100,19988,34,1316,4.27,21,705,2.29,39,1218,3.95,23,1162,3.77,24,36,0.12,770,20,0.06,1386,986,3.34,28,28,510,1.66,54,54,476,1.55,58,58,142,46.1,77,25,65,21.1,136,13.79,119,12.07,159,16.13,185,18.76,157,15.92,230,23.33,0,0,590,191.56,526,170.78,400,129.87,256,83.12,122,39.61,58,18.83,26,8.44,26,29.22,26,70.13,26,116.88,26,160.39,26,181.17
GermanyBundesliga,2020,7199,18,45,111,22,19988,10,49,1.09,83,99,2.2,41,186,4.13,22,181,4.02,22,4,0.09,1013,1,0.02,4050,140,3.26,29,29,80,1.78,51,51,60,1.33,68,68,18,40,12,26.67,6,13.33,17,12.14,24,17.14,23,16.43,23,16.43,20,14.29,33,23.57,0,0,86,191.11,78,173.33,48,106.67,38,84.44,20,44.44,4,8.89,4,8.89,4,26.67,4,93.33,4,115.56,4,155.56,4,191.11
GermanyBundesliga,2018,407,19,308,111,88,19988,22,1050,3.41,26,660,2.14,42,1063,3.45,26,1020,3.31,27,22,0.07,1260,21,0.07,1320,977,3.37,28,28,550,1.79,50,50,427,1.39,65,65,143,46.43,80,25.97,63,20.45,112,11.46,129,13.2,165,16.89,162,16.58,178,18.22,231,23.64,0,0,580,188.31,520,168.83,384,124.68,246,79.87,126,40.91,70,22.73,36,11.69,36,31.17,36,75.32,36,120.13,36,159.09,36,177.27
GermanyBundesliga,2019,406,19,308,111,100,19988,34,1316,4.27,21,705,2.29,39,1218,3.95,23,1162,3.77,24,36,0.12,770,20,0.06,1386,986,3.34,28,28,510,1.66,54,54,476,1.55,58,58,142,46.1,77,25,65,21.1,136,13.79,119,12.07,159,16.13,185,18.76,157,15.92,230,23.33,0,0,590,191.56,526,170.78,400,129.87,256,83.12,122,39.61,58,18.83,26,8.44,26,29.22,26,70.13,26,116.88,26,160.39,26,181.17
GermanyBundesliga,2020,7199,18,45,111,22,19988,10,49,1.09,83,99,2.2,41,186,4.13,22,181,4.02,22,4,0.09,1013,1,0.02,4050,140,3.26,29,29,80,1.78,51,51,60,1.33,68,68,18,40,12,26.67,6,13.33,17,12.14,24,17.14,23,16.43,23,16.43,20,14.29,33,23.57,0,0,86,191.11,78,173.33,48,106.67,38,84.44,20,44.44,4,8.89,4,8.89,4,26.67,4,93.33,4,115.56,4,155.56,4,191.11
ItalySerieA,2018,274,20,380,109,77,17283,26,1358,3.57,25,662,1.74,52,1787,4.7,19,1697,4.47,20,44,0.12,777,46,0.12,743,1019,2.95,34,34,564,1.48,61,61,455,1.2,75,75,211,55.53,121,31.84,90,23.68,132,12.95,114,11.19,183,17.96,185,18.16,176,17.27,229,22.47,0,0,692,182.11,568,149.47,394,103.68,216,56.84,112,29.47,40,10.53,68,17.89,68,50.53,68,96.32,68,143.16,68,170.53,68,189.47
ItalySerieA,2019,273,20,380,109,98,630,36,1462,3.85,23,717,1.89,48,1930,5.08,18,1828,4.81,19,48,0.13,713,54,0.14,633,1154,3.21,30,30,616,1.62,56,56,538,1.42,64,64,165,43.42,92,24.21,73,19.21,118,10.23,181,15.68,206,17.85,200,17.33,205,17.76,244,21.14,0,0,718,188.95,622,163.68,478,125.79,258,67.89,128,33.68,70,18.42,42,11.05,42,36.32,42,74.21,42,132.11,42,166.32,42,181.58
ItalySerieA,2020,7325,20,49,394,16,8963,6,75,1.53,59,122,2.49,36,197,4.02,22,188,3.84,23,4,0.08,1103,5,0.1,882,183,3.81,24,24,102,2.08,43,43,81,1.65,54,54,19,38.78,12,24.49,7,14.29,26,14.21,28,15.3,31,16.94,26,14.21,28,15.3,38,20.77,0,0,96,195.92,86,175.51,66,134.69,48,97.96,40,81.63,20,40.82,2,4.08,2,24.49,2,65.31,2,102.04,2,118.37,2,159.18
ItalySerieA,2018,274,20,380,109,77,17283,26,1358,3.57,25,662,1.74,52,1787,4.7,19,1697,4.47,20,44,0.12,777,46,0.12,743,1019,2.95,34,34,564,1.48,61,61,455,1.2,75,75,211,55.53,121,31.84,90,23.68,132,12.95,114,11.19,183,17.96,185,18.16,176,17.27,229,22.47,0,0,692,182.11,568,149.47,394,103.68,216,56.84,112,29.47,40,10.53,68,17.89,68,50.53,68,96.32,68,143.16,68,170.53,68,189.47
ItalySerieA,2019,273,20,380,109,98,630,36,1462,3.85,23,717,1.89,48,1930,5.08,18,1828,4.81,19,48,0.13,713,54,0.14,633,1154,3.21,30,30,616,1.62,56,56,538,1.42,64,64,165,43.42,92,24.21,73,19.21,118,10.23,181,15.68,206,17.85,200,17.33,205,17.76,244,21.14,0,0,718,188.95,622,163.68,478,125.79,258,67.89,128,33.68,70,18.42,42,11.05,42,36.32,42,74.21,42,132.11,42,166.32,42,181.58
ItalySerieA,2020,7325,20,49,394,16,8963,6,75,1.53,59,122,2.49,36,197,4.02,22,188,3.84,23,4,0.08,1103,5,0.1,882,183,3.81,24,24,102,2.08,43,43,81,1.65,54,54,19,38.78,12,24.49,7,14.29,26,14.21,28,15.3,31,16.94,26,14.21,28,15.3,38,20.77,0,0,96,195.92,86,175.51,66,134.69,48,97.96,40,81.63,20,40.82,2,4.08,2,24.49,2,65.31,2,102.04,2,118.37,2,159.18
ItalySerieA,2018,274,20,380,109,77,17283,26,1358,3.57,25,662,1.74,52,1787,4.7,19,1697,4.47,20,44,0.12,777,46,0.12,743,1019,2.95,34,34,564,1.48,61,61,455,1.2,75,75,211,55.53,121,31.84,90,23.68,132,12.95,114,11.19,183,17.96,185,18.16,176,17.27,229,22.47,0,0,692,182.11,568,149.47,394,103.68,216,56.84,112,29.47,40,10.53,68,17.89,68,50.53,68,96.32,68,143.16,68,170.53,68,189.47
ItalySerieA,2019,273,20,380,109,98,630,36,1462,3.85,23,717,1.89,48,1930,5.08,18,1828,4.81,19,48,0.13,713,54,0.14,633,1154,3.21,30,30,616,1.62,56,56,538,1.42,64,64,165,43.42,92,24.21,73,19.21,118,10.23,181,15.68,206,17.85,200,17.33,205,17.76,244,21.14,0,0,718,188.95,622,163.68,478,125.79,258,67.89,128,33.68,70,18.42,42,11.05,42,36.32,42,74.21,42,132.11,42,166.32,42,181.58
ItalySerieA,2020,7325,20,49,394,16,8963,6,75,1.53,59,122,2.49,36,197,4.02,22,188,3.84,23,4,0.08,1103,5,0.1,882,183,3.81,24,24,102,2.08,43,43,81,1.65,54,54,19,38.78,12,24.49,7,14.29,26,14.21,28,15.3,31,16.94,26,14.21,28,15.3,38,20.77,0,0,96,195.92,86,175.51,66,134.69,48,97.96,40,81.63,20,40.82,2,4.08,2,24.49,2,65.31,2,102.04,2,118.37,2,159.18
PortugalPrimeiraLiga,2018,2043,18,306,100,103,20134,23,880,2.88,31,495,1.62,56,1503,4.91,18,1403,4.58,20,48,0.16,574,52,0.17,530,826,2.89,33,33,466,1.52,59,59,360,1.18,77,77,182,59.48,106,34.64,76,24.84,104,12.59,121,14.65,145,17.55,125,15.13,151,18.28,180,21.79,0,0,572,186.93,434,141.83,298,97.39,178,58.17,92,30.07,46,15.03,40,13.07,40,58.17,40,102.61,40,141.83,40,169.93,40,184.97
PortugalPrimeiraLiga,2019,2042,18,306,89,74,13253,18,1006,3.29,27,462,1.51,60,1580,5.16,17,1493,4.88,18,45,0.15,612,42,0.14,656,763,2.71,36,36,412,1.35,67,67,351,1.15,78,78,180,58.82,102,33.33,78,25.49,107,14.02,89,11.66,147,19.27,108,14.15,130,17.04,182,23.85,0,0,564,184.31,426,139.22,270,88.24,154,50.33,70,22.88,30,9.8,48,15.69,48,60.78,48,111.76,48,149.67,48,177.12,48,190.2
